2024-02-05 09:33:41,130 INFO    StreamThr :50070 [internal.py:wandb_internal():86] W&B internal server running at pid: 50070, started at: 2024-02-05 09:33:41.128772
2024-02-05 09:33:41,130 DEBUG   HandlerThread:50070 [handler.py:handle_request():146] handle_request: status
2024-02-05 09:33:41,133 INFO    WriterThread:50070 [datastore.py:open_for_write():87] open: /Users/asanthan/work/development/greenfield/demos/generative-ai/RAG/utils/evaluation/wandb/run-20240205_093341-nxh0gbfn/run-nxh0gbfn.wandb
2024-02-05 09:33:41,133 DEBUG   SenderThread:50070 [sender.py:send():382] send: header
2024-02-05 09:33:41,157 DEBUG   SenderThread:50070 [sender.py:send():382] send: run
2024-02-05 09:33:41,474 INFO    SenderThread:50070 [dir_watcher.py:__init__():211] watching files in: /Users/asanthan/work/development/greenfield/demos/generative-ai/RAG/utils/evaluation/wandb/run-20240205_093341-nxh0gbfn/files
2024-02-05 09:33:41,474 INFO    SenderThread:50070 [sender.py:_start_run_threads():1136] run started: nxh0gbfn with start time 1707147221.1296
2024-02-05 09:33:41,498 DEBUG   HandlerThread:50070 [handler.py:handle_request():146] handle_request: check_version
2024-02-05 09:33:41,498 DEBUG   SenderThread:50070 [sender.py:send_request():409] send_request: check_version
2024-02-05 09:33:41,671 DEBUG   HandlerThread:50070 [handler.py:handle_request():146] handle_request: run_start
2024-02-05 09:33:41,685 DEBUG   HandlerThread:50070 [system_info.py:__init__():27] System info init
2024-02-05 09:33:41,685 DEBUG   HandlerThread:50070 [system_info.py:__init__():42] System info init done
2024-02-05 09:33:41,685 INFO    HandlerThread:50070 [system_monitor.py:start():194] Starting system monitor
2024-02-05 09:33:41,686 INFO    SystemMonitor:50070 [system_monitor.py:_start():158] Starting system asset monitoring threads
2024-02-05 09:33:41,686 INFO    HandlerThread:50070 [system_monitor.py:probe():214] Collecting system info
2024-02-05 09:33:41,687 INFO    SystemMonitor:50070 [interfaces.py:start():190] Started cpu monitoring
2024-02-05 09:33:41,687 INFO    SystemMonitor:50070 [interfaces.py:start():190] Started disk monitoring
2024-02-05 09:33:41,688 DEBUG   HandlerThread:50070 [system_info.py:probe():151] Probing system
2024-02-05 09:33:41,690 INFO    SystemMonitor:50070 [interfaces.py:start():190] Started gpuapple monitoring
2024-02-05 09:33:41,691 INFO    SystemMonitor:50070 [interfaces.py:start():190] Started memory monitoring
2024-02-05 09:33:41,693 INFO    SystemMonitor:50070 [interfaces.py:start():190] Started network monitoring
2024-02-05 09:33:41,698 DEBUG   HandlerThread:50070 [system_info.py:_probe_git():136] Probing git
2024-02-05 09:33:41,731 DEBUG   HandlerThread:50070 [system_info.py:_probe_git():144] Probing git done
2024-02-05 09:33:41,732 DEBUG   HandlerThread:50070 [system_info.py:probe():199] Probing system done
2024-02-05 09:33:41,732 DEBUG   HandlerThread:50070 [system_monitor.py:probe():223] {'os': 'macOS-14.3-arm64-arm-64bit', 'python': '3.10.10', 'heartbeatAt': '2024-02-05T15:33:41.688085', 'startedAt': '2024-02-05T15:33:41.122959', 'docker': None, 'cuda': None, 'args': (), 'state': 'running', 'program': '/Users/asanthan/work/development/greenfield/demos/generative-ai/RAG/utils/evaluation/rag_evaluation.py', 'codePathLocal': 'rag_evaluation.py', 'codePath': 'RAG/utils/evaluation/rag_evaluation.py', 'git': {'remote': 'https://github.com/GoogleCloudPlatform/generative-ai.git', 'commit': 'ce9ad24b03bb628760a418c994013b855ef1b62d'}, 'email': 'arunk777@gmail.com', 'root': '/Users/asanthan/work/development/greenfield/demos/generative-ai', 'host': 'asanthan-macbookpro3.roam.internal', 'username': 'asanthan', 'executable': '/Users/asanthan/work/development/greenfield/demos/generative-ai/RAG/venv/bin/python', 'cpu_count': 10, 'cpu_count_logical': 10, 'cpu_freq': {'current': 3228, 'min': 600, 'max': 3228}, 'cpu_freq_per_core': [{'current': 3228, 'min': 600, 'max': 3228}], 'disk': {'/': {'total': 460.4317207336426, 'used': 9.433422088623047}}, 'gpuapple': {'type': 'arm', 'vendor': 'Apple'}, 'memory': {'total': 16.0}}
2024-02-05 09:33:41,732 INFO    HandlerThread:50070 [system_monitor.py:probe():224] Finished collecting system info
2024-02-05 09:33:41,732 INFO    HandlerThread:50070 [system_monitor.py:probe():227] Publishing system info
